24 500
-36.0000014305 50.0
-36.0000014305	50.0
-33.0000013113	50.0
-35.9944756576	50.0
-35.9911229055	50.0
-32.990140987	50.0
21.9999998808	120.000004768
22.0043783857	120.000004768
25.0	120.000004768
22.0056170245	120.000004768
22.0083738611	120.000004768
25.0072492828	120.000004768
-50.0	10.000000149
-49.9908644406	10.000000149
-52.999997139	10.000000149
-49.9949409994	10.000000149
-49.9967199092	10.000000149
-52.9961909042	10.000000149
-50.0	-10.000000149
-49.9943861339	-10.000000149
-52.999997139	-10.000000149
-49.9969340301	-10.000000149
-49.9929107468	-10.000000149
-52.9911680398	-10.000000149
